2022-07-19 18:22:15 | INFO | web_testcase.api.test_login | test_login.py | [line:26] : 测试接口：乐迪长租登录
2022-07-19 18:22:15 | INFO | web_testcase.api.test_all_api | test_all_api.py | [line:102] : 接口不执行：4-10车辆列表详情编辑车辆（前端数据回显有bug，暂不调试）
2022-07-19 18:22:15 | INFO | web_testcase.api.test_all_api | test_all_api.py | [line:102] : 接口不执行：4-11车辆列表详情车辆控制-关闭车锁（暂不调试）
2022-07-19 18:22:15 | INFO | web_testcase.api.test_all_api | test_all_api.py | [line:102] : 接口不执行：4-12车辆列表详情车辆控制-打开车锁（暂不调试）
2022-07-19 18:22:15 | INFO | web_testcase.api.test_all_api | test_all_api.py | [line:102] : 接口不执行：4-13车辆列表详情车辆控制-关闭电池锁（暂不调试）
2022-07-19 18:22:15 | INFO | web_testcase.api.test_all_api | test_all_api.py | [line:102] : 接口不执行：4-14车辆列表详情车辆控制-打开电池锁（暂不调试）
2022-07-19 18:22:15 | INFO | web_testcase.api.test_all_api | test_all_api.py | [line:102] : 接口不执行：4-15车辆列表详情车辆控制-关闭轮锁（暂不调试）
2022-07-19 18:22:15 | INFO | web_testcase.api.test_all_api | test_all_api.py | [line:102] : 接口不执行：4-16车辆列表详情车辆控制-打开轮锁（暂不调试）
2022-07-19 18:23:33 | INFO | web_testcase.api.test_login | test_login.py | [line:26] : 测试接口：乐迪长租登录
2022-07-19 18:25:38 | INFO | web_testcase.api.test_login | test_login.py | [line:28] : 测试接口：乐迪长租登录
2022-07-19 18:26:30 | INFO | web_testcase.api.test_login | test_login.py | [line:28] : 测试接口：乐迪长租登录
2022-07-19 18:27:18 | INFO | web_testcase.api.test_login | test_login.py | [line:28] : 测试接口：乐迪长租登录
2022-07-19 18:30:00 | INFO | web_testcase.api.test_login | test_login.py | [line:26] : 测试接口：乐迪长租登录
2022-07-19 18:30:00 | INFO | web_testcase.api.test_login | test_login.py | [line:33] : https://dev.rent.ledear.cn:28000/rent-api/account/platform/account/login
2022-07-19 18:30:00 | INFO | web_testcase.api.test_login | test_login.py | [line:34] : {'code': '00000', 'message': '成功', 'data': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzb3VyY2VfdHlwZSI6Mywic291cmNlX2lkIjoyOH0.HzANPbGguoi0v6uzgGtLJWKnml8l_PgSNU0yRZ0oWsQ'}
2022-07-19 18:30:19 | INFO | web_testcase.api.test_login | test_login.py | [line:26] : 测试接口：乐迪长租登录
2022-07-19 18:30:19 | INFO | web_testcase.api.test_login | test_login.py | [line:33] : https://dev.rent.ledear.cn:28000/rent-api/account/platform/account/login
2022-07-19 18:30:19 | INFO | web_testcase.api.test_login | test_login.py | [line:34] : {'code': '00000', 'message': '成功', 'data': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzb3VyY2VfdHlwZSI6Mywic291cmNlX2lkIjoyOH0.dxZNyq5-zYoxSQbBy0Qi3oge9tSmBX3wyZ-pl6isK6Y'}
2022-07-19 18:30:19 | INFO | web_testcase.api.test_all_api | test_all_api.py | [line:36] : 测试接口：1-1新增商户
2022-07-19 18:30:19 | INFO | web_testcase.api.test_all_api | test_all_api.py | [line:93] : 请求头：{'User-Agent': 'python-requests/2.27.1', 'Accept-Encoding': 'gzip, deflate', 'Accept': '*/*', 'Connection': 'keep-alive', 'content-type': 'application/json', 'source_type': '3', 'token': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzb3VyY2VfdHlwZSI6Mywic291cmNlX2lkIjoyOH0.dxZNyq5-zYoxSQbBy0Qi3oge9tSmBX3wyZ-pl6isK6Y', 'Content-Length': '664'}
2022-07-19 18:30:19 | INFO | web_testcase.api.test_all_api | test_all_api.py | [line:94] : 请求路径：https://dev.rent.ledear.cn:28000/rent-api/merchant/platform/merchant
2022-07-19 18:30:19 | INFO | web_testcase.api.test_all_api | test_all_api.py | [line:97] : 请求参数：{"name": "API-test", "linkMan": "API", "linkPhone": 19180939001, "operateCycle": 2, "deposit": 999999, "imgUrl": "merchant/merchant/img/9ebbd463-a64a-4437-9246-f6ed732baf7f.jpg", "operateStartTime": "09:00", "operateEndTime": "22:00", "percentage": 99.99, "memberNo": "ld32207191747475729", "memberName": "API通联", "province": "四川省", "city": "成都市", "area": "武侯区", "position": {"lon": 104.04446, "lat": 30.557735}, "address": "四川省成都市武侯区石羊街道因材施教教育(高新大源校区)清凤时代城"}
2022-07-19 18:30:19 | INFO | web_testcase.api.test_all_api | test_all_api.py | [line:100] : 响应结果：{'code': '00000', 'message': '成功'}
2022-07-19 18:30:19 | INFO | web_testcase.api.test_all_api | test_all_api.py | [line:36] : 测试接口：1-2商户列表获取数据
2022-07-19 18:30:19 | INFO | web_testcase.api.test_all_api | test_all_api.py | [line:93] : 请求头：{'User-Agent': 'python-requests/2.27.1', 'Accept-Encoding': 'gzip, deflate', 'Accept': '*/*', 'Connection': 'keep-alive', 'content-type': 'application/json', 'source_type': '3', 'token': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzb3VyY2VfdHlwZSI6Mywic291cmNlX2lkIjoyOH0.dxZNyq5-zYoxSQbBy0Qi3oge9tSmBX3wyZ-pl6isK6Y'}
2022-07-19 18:30:19 | INFO | web_testcase.api.test_all_api | test_all_api.py | [line:94] : 请求路径：https://dev.rent.ledear.cn:28000/rent-api/merchant/platform/merchant/list?page=1&pageSize=10
2022-07-19 18:30:19 | INFO | web_testcase.api.test_all_api | test_all_api.py | [line:99] : 请求参数：None
