2022-08-01 09:44:44 | INFO | all_testcase.api.test_login_admin | test_login_admin.py | [line:26] : 测试接口：乐迪长租登录
2022-08-01 09:44:44 | INFO | all_testcase.api.test_login_admin | test_login_admin.py | [line:34] : https://test.rent.ledear.cn/rent-api/account/platform/account/login
2022-08-01 09:44:44 | INFO | all_testcase.api.test_login_admin | test_login_admin.py | [line:35] : {'code': '00000', 'message': '成功', 'data': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzb3VyY2VfdHlwZSI6Mywic291cmNlX2lkIjo0MX0.1JcBMCVnDa8yexNwFQ75_KmmtIP-UWokz7tlqDhRlGs'}
2022-08-01 09:44:44 | INFO | all_testcase.api.test_login_factory_wx_mini | test_login_factory_wx_mini.py | [line:26] : 测试接口：长租厂测微信小程序登录
2022-08-01 09:44:44 | INFO | all_testcase.api.test_login_factory_wx_mini | test_login_factory_wx_mini.py | [line:33] : https://test.rent.ledear.cn/rent-api/factory/factory-user/account/login?phone=19180930619&code=930619
2022-08-01 09:44:44 | INFO | all_testcase.api.test_login_factory_wx_mini | test_login_factory_wx_mini.py | [line:34] : {'code': '00000', 'message': '成功', 'data': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzb3VyY2VfdHlwZSI6NCwic291cmNlX2lkIjo0MX0.DYe5xWiY2UcIxyaLNcocL3HCVr4u8Up-0WGFs4Or27M'}
2022-08-01 09:44:45 | INFO | all_testcase.api.test_login_user_wx_mini | test_login_user_wx_mini.py | [line:23] : 测试接口：长租用户端微信小程序登录
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:76] : 测试接口：0-1-1获取编号前缀
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:142] : 请求头：{'User-Agent': 'python-requests/2.27.1', 'Accept-Encoding': 'gzip, deflate', 'Accept': '*/*', 'Connection': 'keep-alive', 'content-type': 'application/json', 'source_type': '3', 'token': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzb3VyY2VfdHlwZSI6Mywic291cmNlX2lkIjo0MX0.1JcBMCVnDa8yexNwFQ75_KmmtIP-UWokz7tlqDhRlGs'}
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:143] : 请求路径：https://test.rent.ledear.cn/rent-api/factory/factory-platform/number-segment/list?page=1&pageSize=10&numberPrefix=901
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:148] : 请求参数：None
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:149] : 响应结果：{'code': '00000', 'message': '成功', 'data': {'total': 1, 'list': [{'id': 725, 'numberPrefix': '901'}]}}
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:76] : 测试接口：0-1-2厂测列表生成编号
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:100] : 我是depends_data：{'numberSegmentId': 725}
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:101] : 我是depends_data类型：<class 'dict'>
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:142] : 请求头：{'User-Agent': 'python-requests/2.27.1', 'Accept-Encoding': 'gzip, deflate', 'Accept': '*/*', 'Connection': 'keep-alive', 'content-type': 'application/json', 'source_type': '3', 'token': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzb3VyY2VfdHlwZSI6Mywic291cmNlX2lkIjo0MX0.1JcBMCVnDa8yexNwFQ75_KmmtIP-UWokz7tlqDhRlGs', 'Content-Length': '103'}
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:143] : 请求路径：https://test.rent.ledear.cn/rent-api/factory/factory-platform/number-segment/generate
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:146] : 请求参数：{"generateCount": "1", "qrCodeRule": "https://www.ledear.com?bikeNo=${bikeNo}", "numberSegmentId": 725}
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:149] : 响应结果：{'code': '00000', 'message': '成功', 'data': 'https://test.static.ledear.cn/factory/qrCode/%E4%B9%90%E8%BF%AA%E9%95%BF%E7%A7%9F%E8%BD%A6%E8%BE%86%E7%BC%96%E5%8F%B720220801094443735839.xlsx?Expires=1659321884&OSSAccessKeyId=LTAI5tLC3xKWsnzq9jz2fQsL&Signature=OBsCkbBaF0VG4RXwIzb3HRD1W%2FE%3D'}
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:76] : 测试接口：0-1-3厂测列表查询(车辆编号、关联状态)
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:142] : 请求头：{'User-Agent': 'python-requests/2.27.1', 'Accept-Encoding': 'gzip, deflate', 'Accept': '*/*', 'Connection': 'keep-alive', 'content-type': 'application/json', 'source_type': '3', 'token': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzb3VyY2VfdHlwZSI6Mywic291cmNlX2lkIjo0MX0.1JcBMCVnDa8yexNwFQ75_KmmtIP-UWokz7tlqDhRlGs'}
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:143] : 请求路径：https://test.rent.ledear.cn/rent-api/factory/factory/platform/list?page=1&pageSize=10&bikeNo=901&boundStatus=-1
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:148] : 请求参数：None
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:149] : 响应结果：{'code': '00000', 'message': '成功', 'data': {'total': 1, 'list': [{'id': 172278, 'bikeNo': '90100001', 'boundStatus': -1}]}}
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:76] : 测试接口：0-1-4厂测小程序车辆绑定中控
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:142] : 请求头：{'User-Agent': 'python-requests/2.27.1', 'Accept-Encoding': 'gzip, deflate', 'Accept': '*/*', 'Connection': 'keep-alive', 'content-type': 'application/json', 'source_type': '4', 'token': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzb3VyY2VfdHlwZSI6NCwic291cmNlX2lkIjo0MX0.DYe5xWiY2UcIxyaLNcocL3HCVr4u8Up-0WGFs4Or27M', 'Content-Length': '48'}
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:143] : 请求路径：https://test.rent.ledear.cn/rent-api/factory/factory-user/bike/bind
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:146] : 请求参数：{"bikeNo": "90100001", "terminalNo": "90112345"}
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:149] : 响应结果：{'code': '00000', 'message': '成功'}
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:76] : 测试接口：0-1-5厂测小程序获取中控
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:142] : 请求头：{'User-Agent': 'python-requests/2.27.1', 'Accept-Encoding': 'gzip, deflate', 'Accept': '*/*', 'Connection': 'keep-alive', 'content-type': 'application/json', 'source_type': '4', 'token': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzb3VyY2VfdHlwZSI6NCwic291cmNlX2lkIjo0MX0.DYe5xWiY2UcIxyaLNcocL3HCVr4u8Up-0WGFs4Or27M'}
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:143] : 请求路径：https://test.rent.ledear.cn/rent-api/factory/factory-user/bike/terminal?terminalNo=90112345
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:148] : 请求参数：None
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:149] : 响应结果：{'code': '00000', 'message': '成功', 'data': {'id': 375, 'terminalNo': '90112345', 'terminalType': 2, 'createTime': '2022-07-06 14:27:30'}}
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:151] : 接口不执行：0-1-6厂测小程序网络开电池锁
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:151] : 接口不执行：0-1-7厂测小程序网络开锁
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:151] : 接口不执行：0-1-8厂测小程序网络关锁
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:151] : 接口不执行：0-1-9厂测小程序网络寻车
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:151] : 接口不执行：0-1-10厂测小程序网络撤防
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:151] : 接口不执行：0-1-11厂测小程序网络重启中控
2022-08-01 09:44:45 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:76] : 测试接口：0-1-12厂测小程序获取车辆绑定中控信息
