2022-07-28 09:44:42 | INFO | all_testcase.api.test_login_admin | test_login_admin.py | [line:26] : 测试接口：乐迪长租登录
2022-07-28 09:44:43 | INFO | all_testcase.api.test_login_factory_wx_mini | test_login_factory_wx_mini.py | [line:26] : 测试接口：长租厂测微信小程序登录
2022-07-28 09:44:43 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:148] : 接口不执行：4-10车辆列表详情编辑车辆（前端数据回显有bug，暂不调试）
2022-07-28 09:44:43 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:148] : 接口不执行：4-11车辆列表详情车辆控制-关闭车锁（暂不调试）
2022-07-28 09:44:43 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:148] : 接口不执行：4-12车辆列表详情车辆控制-打开车锁（暂不调试）
2022-07-28 09:44:43 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:148] : 接口不执行：4-13车辆列表详情车辆控制-关闭电池锁（暂不调试）
2022-07-28 09:44:43 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:148] : 接口不执行：4-14车辆列表详情车辆控制-打开电池锁（暂不调试）
2022-07-28 09:44:43 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:148] : 接口不执行：4-15车辆列表详情车辆控制-关闭轮锁（暂不调试）
2022-07-28 09:44:43 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:148] : 接口不执行：4-16车辆列表详情车辆控制-打开轮锁（暂不调试）
2022-07-28 09:44:58 | INFO | all_testcase.api.test_login_admin | test_login_admin.py | [line:26] : 测试接口：乐迪长租登录
2022-07-28 09:44:58 | INFO | all_testcase.api.test_login_admin | test_login_admin.py | [line:34] : https://test.rent.ledear.cn/rent-api/account/platform/account/login
2022-07-28 09:44:58 | INFO | all_testcase.api.test_login_admin | test_login_admin.py | [line:35] : {'code': '00000', 'message': '成功', 'data': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzb3VyY2VfdHlwZSI6Mywic291cmNlX2lkIjo0MX0.IoXVwTozZKCeJq9XTa-lTHILjF1eJjs4JceV0zV6Cbc'}
2022-07-28 09:44:58 | INFO | all_testcase.api.test_login_factory_wx_mini | test_login_factory_wx_mini.py | [line:26] : 测试接口：长租厂测微信小程序登录
2022-07-28 09:45:02 | INFO | all_testcase.api.test_login_factory_wx_mini | test_login_factory_wx_mini.py | [line:33] : https://test.rent.ledear.cn/rent-api/factory/factory-user/account/login?phone=19180930619&code=930619
2022-07-28 09:45:02 | INFO | all_testcase.api.test_login_factory_wx_mini | test_login_factory_wx_mini.py | [line:34] : {'code': '00000', 'message': '成功', 'data': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzb3VyY2VfdHlwZSI6NCwic291cmNlX2lkIjo0MX0.6EumCGky6huXqv2Cn3GRfGLiekaD4cc8mKIXc1gYMQs'}
2022-07-28 09:45:02 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:73] : 测试接口：0-1-1获取编号前缀
2022-07-28 09:45:04 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:139] : 请求头：{'User-Agent': 'python-requests/2.27.1', 'Accept-Encoding': 'gzip, deflate', 'Accept': '*/*', 'Connection': 'keep-alive', 'content-type': 'application/json', 'source_type': '3', 'token': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzb3VyY2VfdHlwZSI6Mywic291cmNlX2lkIjo0MX0.IoXVwTozZKCeJq9XTa-lTHILjF1eJjs4JceV0zV6Cbc'}
2022-07-28 09:45:04 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:140] : 请求路径：https://test.rent.ledear.cn/rent-api/factory/factory-platform/number-segment/list?page=1&pageSize=10&numberPrefix=901
2022-07-28 09:45:04 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:145] : 请求参数：None
2022-07-28 09:45:04 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:146] : 响应结果：{'code': '00000', 'message': '成功', 'data': {'total': 1, 'list': [{'id': 704, 'numberPrefix': '901'}]}}
2022-07-28 09:45:04 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:73] : 测试接口：0-1-2厂测列表生成编号
2022-07-28 09:45:04 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:97] : 我是depends_data：{'numberSegmentId': 704}
2022-07-28 09:45:04 | INFO | all_testcase.api.test_all_api | test_all_api.py | [line:98] : 我是depends_data类型：<class 'dict'>
